HoloWAN Recorder File (www.msytest.com)
 NetworkType: "4G"
test_name: "Xicen yuanshen(12-04 00:12:04)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-04 00:12:04
End Time: 2025-12-04 01:12:09
Interval(sec): 0.1
Packet Size(byte): 300
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
17.185000,0.000000,0.025600,17.332750,0.000000,0.051200
16.346500,0.000000,0.025600,15.226750,0.000000,0.076800
17.549000,0.000000,0.025600,17.247000,0.000000,0.051200
14.703500,0.000000,0.025600,16.085500,0.000000,0.051200
19.316000,0.000000,0.051200,15.704250,0.000000,0.076800
15.247000,0.000000,0.025600,17.037500,0.000000,0.051200
14.348500,0.000000,0.025600,15.614000,0.000000,0.051200
13.566500,0.000000,0.025600,14.085250,0.000000,0.076800
16.711500,0.000000,0.025600,16.290667,0.000000,0.051200
16.371500,0.000000,0.025600,23.203000,0.000000,0.051200
32.253750,0.000000,0.051200,23.024750,0.000000,0.051200
19.209000,0.000000,0.025600,24.842333,0.000000,0.076800
15.028500,0.000000,0.025600,16.374750,0.000000,0.051200
19.214500,0.000000,0.025600,18.857000,0.000000,0.076800
14.863500,0.000000,0.025600,16.661167,0.000000,0.051200
16.316500,0.000000,0.025600,16.884500,0.000000,0.051200
11.672000,0.000000,0.051200,10.579000,0.000000,0.076800
18.061000,0.000000,0.025600,14.035000,0.000000,0.051200
16.760000,0.000000,0.025600,17.837500,0.000000,0.051200
17.352500,0.000000,0.025600,18.193000,0.000000,0.076800
30.319000,0.000000,0.025600,26.513333,0.000000,0.051200
18.362250,0.000000,0.025600,15.806500,0.000000,0.051200
16.930000,0.000000,0.051200,16.515500,0.000000,0.076800
17.722500,0.000000,0.025600,19.490333,0.000000,0.051200
18.851500,0.000000,0.025600,17.958500,0.000000,0.051200
16.539000,0.000000,0.025600,17.762833,0.000000,0.076800
14.984000,0.000000,0.025600,15.655500,0.000000,0.051200
