HoloWAN Recorder File (www.msytest.com)
 NetworkType: "4G"
test_name: "Xicen yuanshen(12-04 01:22:08)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-04 01:22:08
End Time: 2025-12-04 03:22:12
Interval(sec): 0.1
Packet Size(byte): 360
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
20.565500,0.000000,0.060800,21.693833,0.000000,0.091200
20.985750,0.000000,0.030400,20.604167,0.000000,0.091200
13.909000,0.000000,0.060800,14.372500,0.000000,0.121600
12.786000,0.000000,0.030400,13.007833,0.000000,0.091200
14.684250,0.000000,0.060800,12.649667,0.000000,0.091200
12.728500,0.000000,0.060800,14.214000,0.000000,0.091200
14.194500,0.000000,0.030400,14.273250,0.000000,0.121600
13.500500,0.000000,0.060800,15.431000,0.000000,0.091200
12.755500,0.000000,0.060800,13.460667,0.000000,0.091200
15.057000,0.000000,0.030400,17.064833,0.000000,0.121600
12.359500,0.000000,0.060800,12.888250,0.000000,0.091200
19.170250,0.000000,0.060800,19.144667,0.000000,0.091200
53.327250,0.000000,0.030400,17.653833,0.000000,0.091200
50.776000,0.000000,0.030400,47.979000,0.000000,0.030400
24.889500,0.000000,0.060800,61.353625,0.000000,0.152000
19.985750,0.000000,0.060800,24.212167,0.000000,0.121600
13.516500,0.000000,0.060800,15.108500,0.000000,0.091200
17.139500,0.000000,0.030400,20.513125,0.000000,0.121600
13.805750,0.000000,0.060800,14.026500,0.000000,0.091200
13.409000,0.000000,0.060800,13.488167,0.000000,0.091200
13.842500,0.000000,0.030400,13.386667,0.000000,0.091200
13.557250,0.000000,0.060800,13.491875,0.000000,0.121600
14.116500,0.000000,0.060800,13.979667,0.000000,0.091200
13.719750,0.000000,0.030400,13.759333,0.000000,0.091200
13.504250,0.000000,0.060800,13.706500,0.000000,0.121600
13.137000,0.000000,0.060800,13.185667,0.000000,0.091200
13.833250,0.000000,0.030400,13.673000,0.000000,0.091200
