HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen(12-06 23:45:32)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-06 23:45:32
End Time: 2025-12-07 00:45:36
Interval(sec): 0.1
Packet Size(byte): 512
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
12.611000,0.000000,0.127680,12.719000,0.000000,0.297920
13.422167,0.000000,0.085120,14.366750,0.000000,0.297920
14.283750,0.000000,0.085120,15.317000,0.000000,0.297920
14.323500,0.000000,0.127680,14.620071,0.000000,0.297920
12.725500,0.000000,0.085120,12.897929,0.000000,0.297920
16.046000,0.000000,0.085120,15.749929,0.000000,0.297920
14.167500,0.000000,0.127680,12.428643,0.000000,0.297920
14.680500,0.000000,0.085120,16.929643,0.000000,0.297920
13.685750,0.000000,0.085120,13.806857,0.000000,0.297920
17.231667,0.000000,0.127680,23.059714,0.000000,0.297920
14.142750,0.000000,0.085120,13.418000,0.000000,0.297920
15.543750,0.000000,0.127680,15.147143,0.000000,0.297920
16.553333,0.000000,0.085120,15.100571,0.000000,0.255360
14.941750,0.000000,0.085120,16.218643,0.000000,0.340480
14.984750,0.000000,0.127680,16.482429,0.000000,0.340480
13.408500,0.000000,0.085120,14.416571,0.000000,0.297920
17.679000,0.000000,0.085120,17.816857,0.000000,0.297920
15.365500,0.000000,0.127680,14.291286,0.000000,0.255360
15.507000,0.000000,0.085120,15.275286,0.000000,0.340480
17.126000,0.000000,0.085120,19.819643,0.000000,0.255360
14.650500,0.000000,0.127680,17.512143,0.000000,0.340480
14.681833,0.000000,0.085120,15.368937,0.000000,0.297920
13.669250,0.000000,0.085120,11.884286,0.000000,0.297920
14.156000,0.000000,0.127680,13.923357,0.000000,0.297920
17.280750,0.000000,0.085120,15.990143,0.000000,0.297920
12.827750,0.000000,0.085120,12.496857,0.000000,0.297920
14.255167,0.000000,0.127680,15.376786,0.000000,0.297920
