HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen(12-07 22:33:33)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-07 22:33:33
End Time: 2025-12-07 23:33:37
Interval(sec): 0.1
Packet Size(byte): 512
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
24.422500,0.000000,0.127680,22.902571,0.000000,0.255360
16.756250,0.000000,0.085120,19.030562,0.000000,0.340480
20.075667,0.000000,0.127680,16.718286,0.000000,0.297920
14.674000,0.000000,0.085120,15.829286,0.000000,0.297920
15.956500,0.000000,0.085120,15.490357,0.000000,0.297920
23.021667,0.000000,0.085120,24.619071,0.000000,0.297920
26.393000,0.000000,0.127680,23.033929,0.000000,0.297920
20.996500,0.000000,0.085120,21.201143,0.000000,0.340480
19.679500,0.000000,0.127680,20.198786,0.000000,0.297920
18.031500,0.000000,0.085120,17.075214,0.000000,0.297920
17.172500,0.000000,0.085120,17.524571,0.000000,0.297920
19.723667,0.000000,0.127680,25.711571,0.000000,0.297920
21.426000,0.000000,0.085120,16.667500,0.000000,0.297920
24.501000,0.000000,0.085120,19.479786,0.000000,0.297920
19.054833,0.000000,0.127680,27.027357,0.000000,0.297920
21.843250,0.000000,0.085120,18.850857,0.000000,0.297920
19.171750,0.000000,0.085120,18.557500,0.000000,0.255360
18.970167,0.000000,0.127680,21.569714,0.000000,0.340480
22.827750,0.000000,0.085120,25.274357,0.000000,0.297920
23.547000,0.000000,0.085120,24.451786,0.000000,0.297920
22.428667,0.000000,0.127680,24.433643,0.000000,0.297920
19.823250,0.000000,0.085120,20.320571,0.000000,0.297920
21.557667,0.000000,0.127680,16.835313,0.000000,0.297920
15.244500,0.000000,0.085120,17.432000,0.000000,0.297920
18.806500,0.000000,0.085120,18.374786,0.000000,0.297920
22.870833,0.000000,0.127680,25.598929,0.000000,0.297920
25.006250,0.000000,0.085120,20.655286,0.000000,0.297920
