HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen(12-08 00:05:05)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-08 00:05:05
End Time: 2025-12-08 01:05:09
Interval(sec): 0.1
Packet Size(byte): 512
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
16.920167,0.000000,0.127680,19.054786,0.000000,0.297920
16.368250,0.000000,0.085120,17.313571,0.000000,0.297920
19.846500,0.000000,0.085120,23.909214,0.000000,0.297920
25.449000,0.000000,0.127680,21.131214,0.000000,0.297920
22.549250,0.000000,0.085120,23.423500,0.000000,0.297920
30.059667,0.000000,0.085120,19.713750,0.000000,0.212800
17.863000,0.000000,0.127680,22.150214,0.000000,0.425600
18.362250,0.000000,0.085120,23.797786,0.000000,0.297920
17.613333,0.000000,0.127680,18.466286,0.000000,0.297920
15.047500,0.000000,0.085120,15.617571,0.000000,0.297920
16.577750,0.000000,0.085120,18.225071,0.000000,0.297920
19.922667,0.000000,0.085120,16.872571,0.000000,0.297920
18.137000,0.000000,0.127680,17.594214,0.000000,0.297920
19.144000,0.000000,0.085120,16.401357,0.000000,0.255360
16.603500,0.000000,0.127680,18.424071,0.000000,0.340480
14.314250,0.000000,0.085120,16.184786,0.000000,0.255360
24.132750,0.000000,0.085120,23.510214,0.000000,0.340480
22.845500,0.000000,0.085120,25.807571,0.000000,0.297920
17.948500,0.000000,0.127680,18.041214,0.000000,0.255360
22.554250,0.000000,0.085120,17.801857,0.000000,0.297920
23.819167,0.000000,0.127680,23.423500,0.000000,0.255360
29.306500,0.000000,0.085120,32.619500,0.000000,0.170240
24.040500,0.000000,0.127680,24.563833,0.000000,0.255360
26.161000,0.000000,0.085120,27.632714,0.000000,0.255360
25.393000,0.000000,0.085120,18.137786,0.000000,0.340480
20.225333,0.000000,0.127680,23.660500,0.000000,0.297920
17.050500,0.000000,0.085120,16.730357,0.000000,0.297920
