HoloWAN Recorder File (www.msytest.com)
 NetworkType: "4G"
test_name: "Xicen(12-08 22:47:54)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-08 22:47:54
End Time: 2025-12-08 23:47:58
Interval(sec): 0.1
Packet Size(byte): 512
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
29.142333,0.000000,0.085120,28.552143,0.000000,0.297920
29.123000,0.000000,0.085120,21.725643,0.000000,0.297920
26.785667,0.000000,0.127680,28.714643,0.000000,0.297920
25.326750,0.000000,0.085120,22.054000,0.000000,0.297920
24.174750,0.000000,0.085120,21.167929,0.000000,0.297920
20.929833,0.000000,0.127680,20.728875,0.000000,0.297920
19.631250,0.000000,0.085120,19.682286,0.000000,0.297920
24.211750,0.000000,0.085120,20.036714,0.000000,0.297920
24.020667,0.000000,0.127680,25.277500,0.000000,0.297920
38.263500,0.000000,0.085120,26.499429,0.000000,0.255360
23.746750,0.000000,0.127680,28.254786,0.000000,0.340480
35.842833,0.000000,0.085120,36.919929,0.000000,0.297920
30.400250,0.000000,0.085120,28.702214,0.000000,0.297920
26.343250,0.000000,0.127680,25.433286,0.000000,0.297920
33.593333,0.000000,0.085120,33.618429,0.000000,0.297920
27.039500,0.000000,0.085120,27.756643,0.000000,0.340480
28.396750,0.000000,0.127680,24.727000,0.000000,0.297920
26.107667,0.000000,0.085120,27.847143,0.000000,0.255360
21.397000,0.000000,0.127680,20.790500,0.000000,0.297920
19.813250,0.000000,0.085120,19.515500,0.000000,0.297920
17.782167,0.000000,0.127680,20.746500,0.000000,0.340480
16.599250,0.000000,0.085120,18.847000,0.000000,0.297920
22.941167,0.000000,0.085120,19.556714,0.000000,0.255360
22.194250,0.000000,0.085120,21.216500,0.000000,0.340480
24.757250,0.000000,0.127680,26.589500,0.000000,0.297920
21.692000,0.000000,0.085120,19.524357,0.000000,0.212800
18.428500,0.000000,0.127680,22.120857,0.000000,0.340480
