HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen(12-24 22:16:12)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-24 22:16:12
End Time: 2025-12-24 23:16:16
Interval(sec): 0.1
Packet Size(byte): 360
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
21.982000,0.000000,0.091200,29.587071,0.000000,0.182400
23.011333,0.000000,0.091200,25.867417,0.000000,0.212800
29.023833,0.000000,0.121600,26.275500,0.000000,0.182400
26.975500,0.000000,0.091200,24.701500,0.000000,0.182400
27.716875,0.000000,0.091200,33.376786,0.000000,0.212800
28.314333,0.000000,0.091200,29.188500,0.000000,0.212800
29.182500,0.000000,0.121600,29.439333,0.000000,0.182400
59.755625,0.000000,0.091200,22.226000,0.000000,0.212800
79.779500,0.000000,0.030400,91.179000,0.000000,0.182400
44.276000,0.000000,0.060800,65.508286,0.000000,0.212800
19.140167,0.000000,0.243200,22.393500,0.000000,0.212800
24.524250,0.000000,0.060800,21.680000,0.000000,0.212800
32.575667,0.000000,0.091200,28.689429,0.000000,0.182400
79.813833,0.000000,0.091200,55.623250,0.000000,0.212800
106.077625,0.000000,0.030400,113.726429,0.000000,0.182400
166.249500,0.000000,0.030400,123.907000,0.000000,0.212800
247.481167,0.000000,0.121600,222.950500,0.000000,0.182400
264.197000,0.000000,0.060800,261.890917,0.000000,0.212800
243.054500,0.000000,0.000000,252.760714,0.000000,0.182400
217.925500,0.000000,0.030400,219.073214,0.000000,0.212800
209.811833,0.000000,0.060800,209.755833,0.000000,0.182400
199.080125,0.000000,0.000000,199.095429,0.000000,0.212800
214.718167,0.000000,0.091200,197.123833,0.000000,0.212800
295.441333,0.000000,0.212800,263.261929,0.000000,0.212800
320.269000,0.000000,0.121600,324.430286,0.000000,0.182400
306.364000,0.000000,0.121600,312.310417,0.000000,0.212800
266.672333,0.000000,0.091200,280.714429,0.000000,0.152000
