HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen (12-24 23:55:00)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-24 23:55:00
End Time: 2025-12-25 01:15:04
Interval(sec): 0.1
Packet Size(byte): 360
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
16.995600,0.000000,0.152000,13.849100,0.000000,0.304000
15.225500,0.000000,0.152000,17.334900,0.000000,0.273600
14.648200,0.000000,0.152000,15.834750,0.000000,0.304000
13.938000,0.000000,0.152000,15.332150,0.000000,0.304000
14.201100,0.000000,0.152000,14.666800,0.000000,0.304000
13.309000,0.000000,0.152000,14.781400,0.000000,0.304000
14.717700,0.000000,0.121600,16.079800,0.000000,0.304000
14.567800,0.000000,0.182400,13.208056,0.000000,0.304000
14.823600,0.000000,0.121600,13.715150,0.000000,0.273600
14.349600,0.000000,0.182400,14.330050,0.000000,0.304000
16.288875,0.000000,0.121600,13.666200,0.000000,0.304000
20.571700,0.000000,0.182400,21.222250,0.000000,0.304000
17.702400,0.000000,0.121600,16.468150,0.000000,0.304000
24.597600,0.000000,0.152000,22.836500,0.000000,0.304000
15.508300,0.000000,0.152000,17.157722,0.000000,0.304000
22.459600,0.000000,0.152000,20.900350,0.000000,0.304000
35.328200,0.000000,0.060800,51.963400,0.000000,0.273600
26.326700,0.000000,0.212800,27.902600,0.000000,0.304000
20.529300,0.000000,0.152000,21.569350,0.000000,0.304000
24.568100,0.000000,0.152000,21.521450,0.000000,0.304000
21.794900,0.000000,0.152000,23.731850,0.000000,0.304000
23.284400,0.000000,0.152000,26.711556,0.000000,0.304000
24.754200,0.000000,0.152000,25.232300,0.000000,0.304000
26.314400,0.000000,0.121600,32.688750,0.000000,0.273600
29.020900,0.000000,0.121600,40.566100,0.000000,0.304000
25.577750,0.000000,0.212800,27.478550,0.000000,0.304000
29.537400,0.000000,0.121600,28.706500,0.000000,0.304000
