HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen.(12-25 01:54:06)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-25 01:54:06
End Time: 2025-12-25 03:14:10
Interval(sec): 0.1
Packet Size(byte): 360
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
13.681250,0.000000,0.091200,14.198286,0.000000,0.182400
15.572500,0.000000,0.121600,16.346250,0.000000,0.212800
14.075000,0.000000,0.091200,13.413714,0.000000,0.212800
14.230167,0.000000,0.091200,16.137250,0.000000,0.182400
16.003000,0.000000,0.091200,13.999071,0.000000,0.212800
18.878333,0.000000,0.121600,16.785667,0.000000,0.182400
16.214500,0.000000,0.091200,18.920929,0.000000,0.212800
19.961500,0.000000,0.091200,19.925286,0.000000,0.182400
17.263833,0.000000,0.091200,16.723000,0.000000,0.212800
18.496167,0.000000,0.121600,16.322071,0.000000,0.212800
20.329833,0.000000,0.091200,24.020833,0.000000,0.182400
18.466250,0.000000,0.091200,21.683286,0.000000,0.212800
19.193500,0.000000,0.091200,18.304750,0.000000,0.182400
17.808000,0.000000,0.121600,14.252786,0.000000,0.212800
20.610625,0.000000,0.091200,17.514714,0.000000,0.182400
21.484167,0.000000,0.091200,30.942833,0.000000,0.212800
16.735167,0.000000,0.121600,19.949357,0.000000,0.212800
17.128000,0.000000,0.091200,16.838333,0.000000,0.182400
15.401500,0.000000,0.091200,15.422929,0.000000,0.212800
17.725167,0.000000,0.121600,17.075500,0.000000,0.182400
18.042500,0.000000,0.091200,21.604000,0.000000,0.212800
16.255875,0.000000,0.091200,15.918357,0.000000,0.182400
19.948167,0.000000,0.091200,17.871083,0.000000,0.212800
17.804333,0.000000,0.121600,16.873857,0.000000,0.212800
16.884750,0.000000,0.091200,20.314750,0.000000,0.182400
15.151833,0.000000,0.121600,12.989286,0.000000,0.212800
13.658000,0.000000,0.091200,16.348286,0.000000,0.182400
