HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen(12-26 00:34:45)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-26 00:34:45
End Time: 2025-12-26 01:54:49
Interval(sec): 0.1
Packet Size(byte): 512
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
21.971500,0.000000,0.127680,22.925714,0.000000,0.297920
15.243875,0.000000,0.170240,16.097000,0.000000,0.297920
32.768167,0.000000,0.170240,14.385188,0.000000,0.212800
14.739250,0.000000,0.127680,30.730214,0.000000,0.383040
20.045667,0.000000,0.170240,18.658286,0.000000,0.297920
14.953375,0.000000,0.127680,18.267357,0.000000,0.297920
19.305833,0.000000,0.170240,17.246714,0.000000,0.297920
15.738375,0.000000,0.127680,18.117929,0.000000,0.297920
18.949667,0.000000,0.170240,14.249143,0.000000,0.297920
20.807750,0.000000,0.127680,17.997143,0.000000,0.297920
20.844833,0.000000,0.170240,18.216214,0.000000,0.340480
22.528125,0.000000,0.085120,30.234286,0.000000,0.255360
18.226167,0.000000,0.212800,15.458000,0.000000,0.340480
17.578750,0.000000,0.127680,13.546000,0.000000,0.255360
25.948333,0.000000,0.170240,14.456429,0.000000,0.212800
20.017625,0.000000,0.127680,22.049214,0.000000,0.425600
15.086167,0.000000,0.170240,15.449500,0.000000,0.297920
16.055250,0.000000,0.127680,16.001286,0.000000,0.297920
17.247167,0.000000,0.170240,14.144714,0.000000,0.297920
14.259625,0.000000,0.170240,15.175143,0.000000,0.297920
21.214833,0.000000,0.127680,18.095643,0.000000,0.297920
17.309000,0.000000,0.127680,19.528571,0.000000,0.297920
19.973500,0.000000,0.170240,14.289429,0.000000,0.297920
20.408000,0.000000,0.170240,17.317286,0.000000,0.255360
18.032625,0.000000,0.127680,14.904813,0.000000,0.340480
17.271833,0.000000,0.170240,17.888143,0.000000,0.255360
20.850750,0.000000,0.127680,15.272857,0.000000,0.340480
