HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen(12-27 19:50:12)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-27 19:50:12
End Time: 2025-12-27 21:30:16
Interval(sec): 0.1
Packet Size(byte): 360
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
14.187750,0.000000,0.091200,13.171786,0.000000,0.182400
13.380000,0.000000,0.121600,14.307083,0.000000,0.212800
14.191000,0.000000,0.091200,13.763429,0.000000,0.182400
12.919500,0.000000,0.091200,14.685750,0.000000,0.212800
14.077750,0.000000,0.091200,13.872071,0.000000,0.212800
13.756333,0.000000,0.121600,15.948714,0.000000,0.182400
12.631833,0.000000,0.091200,13.942000,0.000000,0.212800
14.434875,0.000000,0.091200,15.264286,0.000000,0.212800
14.249000,0.000000,0.121600,13.563333,0.000000,0.182400
12.010833,0.000000,0.091200,12.792429,0.000000,0.212800
13.975833,0.000000,0.091200,12.652083,0.000000,0.182400
13.941125,0.000000,0.121600,13.901714,0.000000,0.212800
14.274500,0.000000,0.091200,15.129643,0.000000,0.182400
13.051167,0.000000,0.091200,13.387833,0.000000,0.212800
13.296750,0.000000,0.091200,13.283000,0.000000,0.182400
14.013500,0.000000,0.121600,13.028167,0.000000,0.212800
12.542833,0.000000,0.091200,13.144714,0.000000,0.212800
12.804125,0.000000,0.091200,13.915750,0.000000,0.182400
13.769833,0.000000,0.121600,12.007071,0.000000,0.182400
15.034167,0.000000,0.091200,14.864071,0.000000,0.212800
14.251667,0.000000,0.091200,14.127833,0.000000,0.212800
14.749500,0.000000,0.091200,15.040000,0.000000,0.182400
13.690833,0.000000,0.121600,14.243667,0.000000,0.212800
14.149667,0.000000,0.091200,15.768429,0.000000,0.212800
13.629625,0.000000,0.091200,12.987667,0.000000,0.182400
13.266000,0.000000,0.121600,13.276929,0.000000,0.182400
13.755667,0.000000,0.091200,14.334429,0.000000,0.212800
