HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen(12-28 00:06:17)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-28 00:06:17
End Time: 2025-12-28 10:27:35
Interval(sec): 0.1
Packet Size(byte): 512
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
19.297750,0.000000,0.127680,12.956250,0.000000,0.212800
14.881167,0.000000,0.085120,16.790400,0.000000,0.212800
15.862250,0.000000,0.085120,17.473200,0.000000,0.170240
13.880333,0.000000,0.127680,14.069700,0.000000,0.212800
22.962250,0.000000,0.085120,25.760250,0.000000,0.212800
17.364250,0.000000,0.085120,17.885100,0.000000,0.170240
19.011500,0.000000,0.127680,18.668900,0.000000,0.212800
16.470250,0.000000,0.085120,15.446625,0.000000,0.212800
13.675000,0.000000,0.085120,16.759400,0.000000,0.212800
15.383667,0.000000,0.127680,17.333500,0.000000,0.170240
15.789000,0.000000,0.085120,14.186000,0.000000,0.212800
23.453750,0.000000,0.085120,24.428100,0.000000,0.212800
17.374833,0.000000,0.127680,25.495600,0.000000,0.170240
18.163250,0.000000,0.085120,14.145400,0.000000,0.212800
15.748000,0.000000,0.127680,15.222750,0.000000,0.212800
15.053167,0.000000,0.085120,17.413500,0.000000,0.170240
14.232500,0.000000,0.085120,14.436000,0.000000,0.212800
13.081750,0.000000,0.127680,13.384625,0.000000,0.212800
21.233667,0.000000,0.085120,25.737800,0.000000,0.170240
15.779750,0.000000,0.085120,15.715900,0.000000,0.212800
19.095250,0.000000,0.127680,15.386875,0.000000,0.212800
16.060333,0.000000,0.085120,18.319600,0.000000,0.212800
19.553000,0.000000,0.085120,25.501700,0.000000,0.170240
17.088833,0.000000,0.127680,15.371100,0.000000,0.212800
24.905000,0.000000,0.085120,19.453875,0.000000,0.170240
18.175500,0.000000,0.085120,21.321400,0.000000,0.212800
18.896333,0.000000,0.127680,18.900200,0.000000,0.212800
