HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen(12-28 20:45:11)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-28 20:45:11
End Time: 2025-12-28 22:25:15
Interval(sec): 0.1
Packet Size(byte): 360
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
14.750875,0.000000,0.091200,14.729643,0.000000,0.212800
15.358000,0.000000,0.121600,17.646667,0.000000,0.212800
17.263667,0.000000,0.091200,15.659643,0.000000,0.182400
15.505167,0.000000,0.091200,15.157250,0.000000,0.212800
14.883250,0.000000,0.091200,15.300214,0.000000,0.182400
14.856667,0.000000,0.121600,12.786833,0.000000,0.212800
15.184000,0.000000,0.091200,14.628214,0.000000,0.182400
14.060500,0.000000,0.121600,14.560429,0.000000,0.212800
14.309833,0.000000,0.091200,13.498583,0.000000,0.212800
14.276667,0.000000,0.091200,13.977000,0.000000,0.182400
14.088500,0.000000,0.091200,14.129333,0.000000,0.182400
16.104875,0.000000,0.091200,15.692214,0.000000,0.212800
16.695833,0.000000,0.121600,15.542667,0.000000,0.212800
16.803167,0.000000,0.091200,16.464857,0.000000,0.212800
17.020375,0.000000,0.091200,17.200500,0.000000,0.182400
16.929000,0.000000,0.121600,17.369417,0.000000,0.212800
19.810833,0.000000,0.091200,16.804143,0.000000,0.182400
18.616125,0.000000,0.091200,19.138167,0.000000,0.212800
16.475833,0.000000,0.091200,16.039786,0.000000,0.182400
14.948000,0.000000,0.121600,14.942500,0.000000,0.212800
18.573167,0.000000,0.091200,19.215750,0.000000,0.182400
17.647375,0.000000,0.091200,16.370143,0.000000,0.212800
16.505667,0.000000,0.121600,14.632250,0.000000,0.212800
18.582167,0.000000,0.091200,18.701357,0.000000,0.182400
18.013875,0.000000,0.091200,16.606583,0.000000,0.212800
17.025667,0.000000,0.121600,20.030357,0.000000,0.182400
16.772000,0.000000,0.091200,15.528071,0.000000,0.212800
