HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen(12-28 23:36:04)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-28 23:36:04
End Time: 2025-12-29 01:16:09
Interval(sec): 0.1
Packet Size(byte): 360
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
21.267875,0.000000,0.121600,22.376143,0.000000,0.212800
13.869667,0.000000,0.091200,15.204500,0.000000,0.182400
18.551833,0.000000,0.091200,19.570214,0.000000,0.182400
19.573000,0.000000,0.091200,20.056167,0.000000,0.212800
16.207875,0.000000,0.121600,18.025500,0.000000,0.212800
23.681000,0.000000,0.091200,29.185000,0.000000,0.212800
23.721500,0.000000,0.060800,26.739143,0.000000,0.182400
18.067500,0.000000,0.152000,22.236643,0.000000,0.212800
27.097333,0.000000,0.060800,25.871583,0.000000,0.182400
26.078500,0.000000,0.121600,28.314429,0.000000,0.212800
20.647333,0.000000,0.091200,24.188417,0.000000,0.212800
19.578625,0.000000,0.121600,19.570643,0.000000,0.182400
20.359333,0.000000,0.091200,19.735643,0.000000,0.212800
19.928000,0.000000,0.091200,18.560250,0.000000,0.182400
21.800625,0.000000,0.091200,22.582714,0.000000,0.212800
17.119833,0.000000,0.121600,17.635500,0.000000,0.182400
23.794833,0.000000,0.060800,24.418143,0.000000,0.212800
18.943875,0.000000,0.121600,18.807833,0.000000,0.212800
19.188667,0.000000,0.091200,18.012929,0.000000,0.182400
19.151000,0.000000,0.121600,17.998071,0.000000,0.212800
19.593833,0.000000,0.091200,18.947083,0.000000,0.182400
20.081500,0.000000,0.091200,20.947214,0.000000,0.212800
42.621000,0.000000,0.060800,45.823417,0.000000,0.152000
27.477167,0.000000,0.152000,34.159929,0.000000,0.212800
21.447000,0.000000,0.091200,24.428750,0.000000,0.243200
15.098667,0.000000,0.121600,16.786571,0.000000,0.182400
14.598500,0.000000,0.091200,14.577000,0.000000,0.212800
