HoloWAN Recorder File (www.msytest.com)
Operator: "中国电信" NetworkType: "Unknown" SignalStrength: -115(dbm)
test_name: "xicen(01-17 21:59:55)"
Destination: "172.30.153.236:8081"
Start Time: 2026-01-17 21:59:55
End Time: 2026-01-17 23:39:59
Interval(sec): 0.1
Packet Size(byte): 500
Loss Average: 10
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
15.14,50.00,0.041600,15.14,0.00,0.208000
17.05,0.00,0.166400,17.05,20.00,0.166400
18.74,66.67,0.041600,18.74,0.00,0.208000
17.02,0.00,0.124800,17.02,0.00,0.208000
14.56,33.33,0.083200,14.56,0.00,0.208000
17.19,0.00,0.124800,17.19,0.00,0.208000
15.19,0.00,0.083200,15.19,20.00,0.166400
18.91,0.00,0.124800,18.91,0.00,0.208000
15.13,0.00,0.083200,15.13,0.00,0.208000
18.67,0.00,0.124800,18.67,0.00,0.208000
15.51,0.00,0.083200,15.51,0.00,0.208000
16.97,0.00,0.083200,16.97,0.00,0.166400
17.44,33.33,0.083200,17.44,0.00,0.208000
17.86,0.00,0.124800,17.86,0.00,0.208000
15.46,0.00,0.124800,15.46,0.00,0.208000
17.01,0.00,0.083200,17.01,0.00,0.208000
19.36,0.00,0.083200,19.36,0.00,0.166400
16.22,0.00,0.124800,16.22,0.00,0.208000
15.00,0.00,0.083200,15.00,0.00,0.208000
24.77,0.00,0.124800,24.77,0.00,0.208000
15.73,0.00,0.083200,15.73,0.00,0.208000
24.59,0.00,0.124800,24.59,0.00,0.208000
15.10,33.33,0.083200,15.10,20.00,0.166400
25.47,0.00,0.083200,25.47,0.00,0.208000
15.97,33.33,0.083200,15.97,0.00,0.208000
17.04,0.00,0.124800,17.04,0.00,0.208000
15.22,0.00,0.083200,15.22,0.00,0.166400
17.75,0.00,0.124800,17.75,0.00,0.208000
17.30,0.00,0.083200,17.30,0.00,0.208000
25.19,0.00,0.124800,25.19,0.00,0.208000
