HoloWAN Recorder File (www.msytest.com)
Operator: "中国电信" NetworkType: "Unknown" SignalStrength: -115(dbm)
test_name: "xicen(01-18 21:14:37)"
Destination: "172.30.153.236:8081"
Start Time: 2026-01-18 21:14:37
End Time: 2026-01-18 22:54:41
Interval(sec): 0.1
Packet Size(byte): 500
Loss Average: 10
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
286.18,100.00,0.000000,286.18,0.00,0.000000
286.18,100.00,0.000000,286.18,0.00,0.000000
297.33,100.00,0.000000,297.33,0.00,0.000000
348.39,100.00,0.000000,348.39,0.00,0.000000
348.39,100.00,0.000000,348.39,0.00,0.000000
351.38,100.00,0.000000,351.38,0.00,0.000000
351.38,100.00,0.000000,351.38,0.00,0.000000
385.42,100.00,0.000000,385.42,0.00,0.000000
309.55,50.00,0.041600,309.55,0.00,0.166400
25.52,100.00,0.000000,25.52,20.00,0.166400
68.78,100.00,0.000000,68.78,0.00,0.208000
68.78,50.00,0.041600,68.78,0.00,0.208000
36.34,100.00,0.000000,36.34,20.00,0.166400
36.78,50.00,0.041600,36.78,0.00,0.249600
130.30,100.00,0.000000,130.30,20.00,0.166400
130.30,100.00,0.000000,130.30,0.00,0.208000
130.30,50.00,0.041600,130.30,0.00,0.208000
107.53,100.00,0.000000,107.53,0.00,0.208000
67.30,100.00,0.000000,67.30,0.00,0.208000
67.30,100.00,0.000000,67.30,20.00,0.166400
104.06,100.00,0.000000,104.06,20.00,0.166400
104.06,100.00,0.000000,104.06,0.00,0.249600
104.06,100.00,0.000000,104.06,0.00,0.208000
76.98,100.00,0.000000,76.98,0.00,0.208000
76.98,100.00,0.000000,76.98,20.00,0.166400
187.91,50.00,0.041600,187.91,0.00,0.208000
187.91,100.00,0.000000,187.91,0.00,0.208000
187.91,100.00,0.000000,187.91,0.00,0.208000
187.91,100.00,0.000000,187.91,0.00,0.208000
157.98,66.67,0.041600,157.98,20.00,0.166400
